temperature_moyenne,nb_lost_item
0.42500000000000004,3
0.4250000000000001,7
0.42857142857142866,15
0.4375,15
0.43750000000000006,12
0.4428571428571429,4
0.44999999999999984,17
0.44999999999999996,21
0.45,20
0.45000000000000007,57
0.46249999999999997,5
0.4625,51
0.4625000000000001,16
0.47499999999999987,5
0.475,7
0.47500000000000003,8
0.48571428571428565,1
0.48749999999999993,28
0.4875,14
0.48750000000000004,2
0.5,15
0.5125,2
0.5249999999999999,18
0.525,16
0.5285714285714286,2
0.5375,55
0.5375000000000001,11
0.5375000000000002,13
0.5428571428571429,2
0.55,9
0.5624999999999998,2
0.5625,9
0.5625000000000001,1
0.575,13
0.5750000000000001,4
0.5750000000000002,5
0.5857142857142856,29
0.5874999999999999,13
0.5875,32
0.5875000000000001,10
0.5999999999999999,1
0.6,5
0.6000000000000001,7
0.6125,2
0.6249999999999999,8
0.625,10
0.6375,9
0.6375000000000001,4
0.6499999999999999,7
0.65,4
0.6625,8
0.675,24
0.6750000000000002,3
0.6857142857142857,3
0.6874999999999999,3
0.6875,7
0.6875000000000001,10
0.7,15
0.7000000000000001,9
0.7124999999999999,12
0.7125,45
0.7142857142857143,22
0.7249999999999999,1
0.725,24
0.7250000000000001,13
0.7374999999999999,7
0.7375,34
0.7428571428571428,2
0.7499999999999999,1
0.75,31
0.7500000000000001,7
0.757142857142857,7
0.76,3
0.7625,17
0.7625000000000001,2
0.7714285714285714,3
0.7714285714285715,14
0.7749999999999997,2
0.7749999999999999,10
0.775,8
0.7750000000000001,11
0.7874999999999999,5
0.7875,17
0.7875000000000001,7
0.7999999999999999,14
0.8,16
0.8000000000000002,9
0.8124999999999999,4
0.8125000000000001,2
0.8142857142857143,17
0.825,1
0.8250000000000001,9
0.8285714285714286,12
0.8374999999999999,10
0.8375,52
0.8375000000000001,1
0.8428571428571427,24
0.8499999999999999,9
0.85,4
0.8500000000000001,22
0.8624999999999999,13
0.8625,20
0.8714285714285713,13
0.8714285714285716,1
0.8749999999999998,2
0.875,18
0.8750000000000001,4
0.8875,9
0.8875000000000001,20
0.8875000000000002,1
0.8999999999999998,4
0.9,11
0.9000000000000001,19
0.9124999999999999,6
0.9125,22
0.9125000000000001,7
0.9142857142857144,12
0.9249999999999998,2
